ncessch,zip,locale,title1_status,total_n,fr_lnch_n,red_lnch_n,pupil_tch_ratio,ipr_est,st_schid,lea_cwiftest,fr_lnch_prop,red_lnch_prop,enrl_grd,percent_level_4,percent_level_3,percent_level_2,percent_level_1,wealth_prop,mid_prop,pov_prop,bachelors_pct,high_school,no_diploma_pct,high_ed
410852000858,97844,32-Town: Distant,5-Eligible for Title I SWP provides SWP program,255,148,47,15.94,224,813,0.81,0.5803921568627451,0.1843137254901961,3,20.6,25.4,30.2,23.8,0.03723404255319149,0.2127659574468085,0.2712765957446808,6.1,33.2,14.8,3.1
411004000865,97214,11-City: Large,6-Not eligible for either TAS or SWP,520,40,9,22.6,684,822,0.999,0.07692307692307693,0.01730769230769231,3,43.6,28.7,21.3,6.4,0.12686567164179105,0.23661106233538193,0.18305531167690958,37.2,10.1,2,24.5
411004000865,97214,11-City: Large,6-Not eligible for either TAS or SWP,520,40,9,22.6,684,822,0.999,0.07692307692307693,0.01730769230769231,4,50.6,25.9,11.1,12.3,0.12686567164179105,0.23661106233538193,0.18305531167690958,37.2,10.1,2,24.5
411004000865,97214,11-City: Large,6-Not eligible for either TAS or SWP,520,40,9,22.6,684,822,0.999,0.07692307692307693,0.01730769230769231,5,51.8,29.4,9.4,9.4,0.12686567164179105,0.23661106233538193,0.18305531167690958,37.2,10.1,2,24.5
410804000963,97504,13-City: Small,6-Not eligible for either TAS or SWP,549,164,38,21.03,267,1350,0.886,0.2987249544626594,0.0692167577413479,3,33.7,20.5,28.9,16.9,0.10222868217054264,0.18313953488372092,0.25193798449612403,18.4,25.3,6,10.1
410804000963,97504,13-City: Small,6-Not eligible for either TAS or SWP,549,164,38,21.03,267,1350,0.886,0.2987249544626594,0.0692167577413479,4,31.3,35.4,16.2,17.2,0.10222868217054264,0.18313953488372092,0.25193798449612403,18.4,25.3,6,10.1
410804000963,97504,13-City: Small,6-Not eligible for either TAS or SWP,549,164,38,21.03,267,1350,0.886,0.2987249544626594,0.0692167577413479,5,24.4,26.8,20.7,28,0.10222868217054264,0.18313953488372092,0.25193798449612403,18.4,25.3,6,10.1
410804000963,97504,13-City: Small,6-Not eligible for either TAS or SWP,549,164,38,21.03,267,1350,0.886,0.2987249544626594,0.0692167577413479,6,15.3,40.7,30.5,13.6,0.10222868217054264,0.18313953488372092,0.25193798449612403,18.4,25.3,6,10.1
411158001727,97424,32-Town: Distant,6-Not eligible for either TAS or SWP,204,NA,NA,41.72,215,4555,0.879,NA,NA,3,28.6,28.6,35.7,7.1,0.021178027796161483,0.2501654533421575,0.26538716082064856,9.1,32.9,9,6.9
411158001727,97424,32-Town: Distant,6-Not eligible for either TAS or SWP,204,NA,NA,41.72,215,4555,0.879,NA,NA,4,40,30,10,20,0.021178027796161483,0.2501654533421575,0.26538716082064856,9.1,32.9,9,6.9
